Seed	Tool	Depth	Predicted Genes	Truth Genes	TP	FP	FN	Precision	Recall	F1
108	Arriba	5x	24	116	5	19	111	0.20833333333333337	0.04310344827586207	0.07142857142857142
108	Arriba	10x	35	116	8	27	108	0.22857142857142856	0.06896551724137931	0.10596026490066224
108	Arriba	25x	61	116	15	46	101	0.2459016393442623	0.12931034482758622	0.1694915254237288
108	Arriba	50x	89	116	22	67	94	0.24719101123595505	0.1896551724137931	0.2146341463414634
108	Arriba	100x	125	116	30	95	86	0.24	0.25862068965517243	0.24896265560165975
108	ChimeraTE	5x	14	116	9	5	107	0.6428571428571429	0.07758620689655173	0.13846153846153847
108	ChimeraTE	10x	17	116	11	6	105	0.6470588235294118	0.09482758620689656	0.16541353383458646
108	ChimeraTE	25x	18	116	12	6	104	0.6666666666666666	0.10344827586206896	0.1791044776119403
108	ChimeraTE	50x	20	116	13	7	103	0.65	0.11206896551724138	0.19117647058823528
108	ChimeraTE	100x	24	116	15	9	101	0.625	0.12931034482758622	0.21428571428571427
109	TEDDY	5x	82	125	81	1	44	0.9878048780487804	0.648	0.782608695652174
109	TEDDY	10x	94	125	94	0	31	1	0.752	0.8584474885844748
109	TEDDY	25x	108	125	108	0	17	1	0.864	0.927038626609442
109	TEDDY	50x	114	125	114	0	11	1	0.912	0.9539748953974896
109	TEDDY	100x	118	125	118	0	7	1	0.944	0.97119341563786
109	TEProf2	5x	12	21	5	7	16	0.4166666666666667	0.23809523809523808	0.30303030303030304
109	TEProf2	10x	17	21	5	12	16	0.29411764705882354	0.23809523809523808	0.2631578947368421
109	TEProf2	25x	15	21	7	8	14	0.4666666666666667	0.3333333333333333	0.3888888888888889
109	TEProf2	50x	14	21	7	7	14	0.5	0.3333333333333333	0.4
109	TEProf2	100x	13	21	7	6	14	0.5384615384615384	0.3333333333333333	0.4117647058823529
109	FREDY	5x	307	164	159	148	5	0.5179153094462541	0.9695121951219512	0.6751592356687898
109	FREDY	10x	307	164	159	148	5	0.5179153094462541	0.9695121951219512	0.6751592356687898
109	FREDY	25x	307	164	159	148	5	0.5179153094462541	0.9695121951219512	0.6751592356687898
109	FREDY	50x	307	164	159	148	5	0.5179153094462541	0.9695121951219512	0.6751592356687898
109	FREDY	100x	307	164	159	148	5	0.5179153094462541	0.9695121951219512	0.6751592356687898
109	LIONS	5x	10	21	4	6	17	0.4	0.1904761904761905	0.25806451612903225
109	LIONS	10x	13	21	5	8	16	0.38461538461538464	0.23809523809523808	0.29411764705882354
109	LIONS	25x	13	21	6	7	15	0.4615384615384616	0.2857142857142857	0.35294117647058826
109	LIONS	50x	15	21	6	9	15	0.4	0.2857142857142857	0.3333333333333333
109	LIONS	100x	17	21	6	11	15	0.35294117647058826	0.2857142857142857	0.3157894736842105
109	Arriba	5x	15	125	3	12	122	0.2	0.024	0.04285714285714286
109	Arriba	10x	28	125	5	23	120	0.17857142857142858	0.04	0.06535947712418301
109	Arriba	25x	59	125	11	48	114	0.1864406779661017	0.088	0.11956521739130437
109	Arriba	50x	99	125	17	82	108	0.1717171717171717	0.136	0.15178571428571427
109	Arriba	100x	147	125	25	122	100	0.17006802721088435	0.2	0.18382352941176472
109	ChimeraTE	5x	14	125	9	5	116	0.6428571428571429	0.072	0.12949640287769784
109	ChimeraTE	10x	17	125	10	7	115	0.5882352941176471	0.08	0.14084507042253522
109	ChimeraTE	25x	23	125	12	11	113	0.5217391304347826	0.096	0.16216216216216217
109	ChimeraTE	50x	28	125	12	16	113	0.42857142857142855	0.096	0.1568627450980392
109	ChimeraTE	100x	30	125	13	17	112	0.43333333333333335	0.104	0.16774193548387098
